source,interaction,target,weight,timepoint,model
CTNNB1,1,LEF1,0,T8,CREB1
E2F1,1,CHEK1,0,T8,CREB1
ESR1,-1,FOXO1,0,T8,CREB1
FOXG1,-1,FOXO1,0,T8,CREB1
FOXL2,1,SIRT1,0,T8,CREB1
FOXO3,1,ATM,0,T8,CREB1
FOXO3,1,ESR1,0,T8,CREB1
FYN,1,CDK5,0,T8,CREB1
FYN,1,MAPK14,0,T8,CREB1
GADD45A,-1,CDK1,100,T8,CREB1
GADD45A,-1,MAPK14,100,T8,CREB1
GSK3B,-1,CDK1,0,T8,CREB1
GSK3B,-1,TRAF6,0,T8,CREB1
GSK3B,1,SMAD1,0,T8,CREB1
GSK3B,1,SMAD3,0,T8,CREB1
GTF2B,1,FOXF2,0,T8,CREB1
KDM5B,1,FOXG1,0,T8,CREB1
LATS1,1,FOXL2,0,T8,CREB1
LEF1,1,ALX4,100,T8,CREB1
LRRK2,1,AKT1,0,T8,CREB1
MAPK14,1,FOXC1,100,T8,CREB1
MAX,1,MGA,100,T8,CREB1
NEK6,1,FOXJ2,0,T8,CREB1
NOTCH1,1,SMAD1,0,T8,CREB1
PARP1,-1,KDM5B,0,T8,CREB1
PRKACA,-1,GSK3B,0,T8,CREB1
PRKACA,-1,LRRK2,0,T8,CREB1
PRKACA,1,CREB1,0,T8,CREB1
PRKACA,1,CTNNB1,0,T8,CREB1
PRKACA,1,E2F1,0,T8,CREB1
PRKACA,1,FYN,0,T8,CREB1
PRKACA,1,LATS1,0,T8,CREB1
PRKACA,1,PARP1,0,T8,CREB1
PRKACA,1,SGK1,0,T8,CREB1
PRKACA,1,SRC,0,T8,CREB1
RB1,-1,YY1,100,T8,CREB1
SGK1,-1,FOXO1,0,T8,CREB1
SGK1,-1,FOXO3,0,T8,CREB1
SGK1,1,SP1,0,T8,CREB1
SIRT1,-1,FOXO3,0,T8,CREB1
SIRT1,1,FOXO1,0,T8,CREB1
SIRT1,1,FOXO4,0,T8,CREB1
SMAD2,1,SP1,100,T8,CREB1
SMAD3,1,FOXO1,0,T8,CREB1
SMAD3,1,LEF1,100,T8,CREB1
SMAD3,1,MAX,100,T8,CREB1
SMAD6,1,SMAD1,100,T8,CREB1
SMAD6,1,SMURF1,0,T8,CREB1
SMARCA4,1,GADD45A,100,T8,CREB1
SMURF1,-1,NFIC,0,T8,CREB1
SP1,1,TBX21,100,T8,CREB1
SRC,-1,YY1,0,T8,CREB1
TCL1A,1,AKT1,100,T8,CREB1
TCL1A,1,AKT3,100,T8,CREB1
TRAF6,1,AKT3,0,T8,CREB1
YY1,-1,NOTCH1,0,T8,CREB1
AKT1,1,SMURF1,100,T24,PRKACA
CAPN3,1,GSK3B,0,T24,PRKACA
CDK6,-1,RB1,0,T24,PRKACA
CREB1,1,CDK6,0,T24,PRKACA
CREB1,1,MYC,0,T24,PRKACA
CREB1,1,SMAD3,0,T24,PRKACA
CREB1,1,SMAD6,0,T24,PRKACA
CREB1,1,SMARCA4,0,T24,PRKACA
FOXA1,1,NFIB,100,T24,PRKACA
FOXA1,1,NFIX,100,T24,PRKACA
FOXG1,-1,FOXO1,0,T24,PRKACA
GADD45A,-1,MAPK14,0,T24,PRKACA
GSK3B,-1,GCM1,100,T24,PRKACA
GSK3B,1,SMAD1,0,T24,PRKACA
GSK3B,1,SMAD3,100,T24,PRKACA
KDM5B,1,FOXG1,100,T24,PRKACA
LRRK2,1,AKT1,100,T24,PRKACA
MAPK14,-1,NFATC1,0,T24,PRKACA
MYC,1,CAPN3,0,T24,PRKACA
NFIB,-1,NFIC,0,T24,PRKACA
NFIB,-1,NFIX,0,T24,PRKACA
NOTCH1,1,SMAD1,0,T24,PRKACA
PARP1,-1,KDM5B,100,T24,PRKACA
PRKACA,-1,GSK3B,100,T24,PRKACA
PRKACA,-1,LRRK2,100,T24,PRKACA
PRKACA,-1,NFATC1,0,T24,PRKACA
PRKACA,1,PARP1,100,T24,PRKACA
PRKACA,1,SGK1,0,T24,PRKACA
PRKACA,1,SRC,0,T24,PRKACA
RB1,-1,YY1,0,T24,PRKACA
SGK1,-1,FOXO1,0,T24,PRKACA
SMAD3,-1,FOXA1,100,T24,PRKACA
SMAD3,1,FOXO1,100,T24,PRKACA
SMAD3,1,MAX,0,T24,PRKACA
SMAD6,1,SMAD1,0,T24,PRKACA
SMAD6,1,SMURF1,0,T24,PRKACA
SMARCA4,1,GADD45A,0,T24,PRKACA
SMURF1,-1,NFIC,100,T24,PRKACA
SRC,-1,YY1,0,T24,PRKACA
TLX1,-1,RB1,0,T24,PRKACA
YY1,-1,NOTCH1,0,T24,PRKACA
AKT1,1,SMURF1,100,T72,PRKACA
AKT3,1,TBX3,100,T72,PRKACA
CDK1,1,UBE2I,0,T72,PRKACA
CDK6,-1,RB1,0,T72,PRKACA
CREB1,1,CDK6,0,T72,PRKACA
CREB1,1,CREBBP,0,T72,PRKACA
CREB1,1,SMAD3,0,T72,PRKACA
CREB1,1,SMAD6,0,T72,PRKACA
CREB1,1,TCL1A,0,T72,PRKACA
CREBBP,1,RELA,0,T72,PRKACA
CREBBP,1,SMAD2,0,T72,PRKACA
CTBP1,1,BHLHE41,100,T72,PRKACA
GSK3B,-1,CDK1,0,T72,PRKACA
GSK3B,-1,TRAF6,100,T72,PRKACA
GSK3B,1,SMAD3,0,T72,PRKACA
LRRK2,1,AKT1,100,T72,PRKACA
NCOR2,1,BHLHE41,0,T72,PRKACA
PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,-1,CTBP1,100,T72,PRKACA
PRKACA,-1,GSK3B,100,T72,PRKACA
PRKACA,-1,LRRK2,100,T72,PRKACA
PRKACA,-1,PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,100,T72,PRKACA
PRKACA,1,SGK1,100,T72,PRKACA
PRKACA,1,SRC,0,T72,PRKACA
RB1,-1,YY1,0,T72,PRKACA
RELA,-1,NCOR2,0,T72,PRKACA
SGK1,1,SP1,100,T72,PRKACA
SMAD2,1,SP1,0,T72,PRKACA
SMAD3,1,MAX,0,T72,PRKACA
SMAD6,1,SMURF1,0,T72,PRKACA
SMURF1,-1,NFIC,100,T72,PRKACA
SP1,1,TBX21,100,T72,PRKACA
SRC,-1,YY1,0,T72,PRKACA
TCL1A,1,AKT3,0,T72,PRKACA
TRAF6,1,AKT3,100,T72,PRKACA
UBE2I,-1,BHLHE40,0,T72,PRKACA
AKT1,-1,FOXO6,100,T8,PRKACA
AKT1,1,SMURF1,0,T8,PRKACA
AKT3,1,TBX3,100,T8,PRKACA
ATM,1,SMAD1,0,T8,PRKACA
CDK1,1,FOXK2,100,T8,PRKACA
CDK5,1,FOXC2,0,T8,PRKACA
CDK6,-1,RB1,100,T8,PRKACA
CHEK1,-1,NEK6,100,T8,PRKACA
CREB1,1,CDK6,100,T8,PRKACA
CREB1,1,CREBBP,0,T8,PRKACA
CREB1,1,CTNNB1,0,T8,PRKACA
CREB1,1,FOXO4,0,T8,PRKACA
CREB1,1,GTF2B,0,T8,PRKACA
CREB1,1,SMAD3,100,T8,PRKACA
CREB1,1,SMAD6,100,T8,PRKACA
CREB1,1,SMARCA4,100,T8,PRKACA
CREB1,1,TCL1A,100,T8,PRKACA
CREBBP,1,SMAD2,0,T8,PRKACA
CTNNB1,1,FOXO3,0,T8,PRKACA
CTNNB1,1,FOXO4,0,T8,PRKACA
CTNNB1,1,LEF1,0,T8,PRKACA
E2F1,1,CHEK1,100,T8,PRKACA
ESR1,-1,FOXO1,0,T8,PRKACA
FOXG1,-1,FOXO1,0,T8,PRKACA
FOXL2,1,SIRT1,0,T8,PRKACA
FOXO3,1,ATM,0,T8,PRKACA
FOXO3,1,ESR1,0,T8,PRKACA
FYN,1,CDK5,0,T8,PRKACA
FYN,1,MAPK14,0,T8,PRKACA
GADD45A,-1,CDK1,100,T8,PRKACA
GADD45A,-1,MAPK14,100,T8,PRKACA
GSK3B,-1,CDK1,0,T8,PRKACA
GSK3B,-1,TRAF6,0,T8,PRKACA
GSK3B,1,SMAD1,0,T8,PRKACA
GSK3B,1,SMAD3,0,T8,PRKACA
GTF2B,1,FOXF2,0,T8,PRKACA
KDM5B,1,FOXG1,100,T8,PRKACA
LATS1,1,FOXL2,0,T8,PRKACA
