timepoint,go_id,n_significant_degs,total_hit_count,total_percentage_of_degs,genes,term,family,minimum_fdr
T72,GO:0060019,4650,7,0.150537634408602,CDH2;FGF10;GAP43;HES1;LEF1;RHOA;STAT3,Radial glial cell differentiation,Neural progenitor biology,0.0913530123745108
T72,GO:0141156,4650,8,0.172043010752688,CALCR;EDN1;MC1R;PDE4A;PRKACA;PRKAR1B;PRKAR2A;SCN11A,cAMP/PKA signal transduction,Second-messenger signaling,0.25902746028864
T72,GO:0042073,4650,13,0.279569892473118,CEP131;CILK1;DYNC2H1;DYNC2I1;DYNC2LI1;IFT172;IFT25;IFT43;IFT57;IFT88;PCM1;TRAF3IP1;WDR19,Intraciliary transport,Primary cilium,0.0206521572659976
T72,GO:0019933,4650,17,0.365591397849462,ADCY2;ADCYAP1R1;ADGRG6;CAP1;CAP2;KSR1;LPAR1;MGRN1;PDE1C;PDE3A;PDE4A;PDE4D;PDE5A;PDE7A;PDE8A;RAPGEF2;UCN,cAMP-mediated signaling,Second-messenger signaling,0.293819068888345
T72,GO:1905515,4650,18,0.387096774193548,BBS1;BBS2;BBS4;CEP131;DCTN1;DYNC2H1;EXOC5;IFT172;IFT57;IFT88;KCNF1;KCNJ10;MAP4;MAPRE1;PCM1;SEPTIN7;TMEM17;TMEM80,Non-motile cilium assembly,Primary cilium,0.0757621208434791
T72,GO:0060563,4650,19,0.408602150537634,ASCL1;BCCIP;BMP4;CDH2;DLL1;FGF2;HES1;INSM1;IPO7;LEF1;NFE2L1;NKX2-2;OTP;SERPINE1;SMAD2;SOX11;SOX4;TGFB1;TUBB,Neuroepithelial cell differentiation,Neural progenitor biology,0.0190713339407381
T72,GO:0061512,4650,20,0.43010752688172,ARF4;ASB3;ATP6V1D;BBS1;BBS4;CCDC88A;CFAP58;DNAAF11;DYNC2H1;EHD1;FAM149B1;FSIP2;GDI2;ODAD4;RAB11A;RAB11FIP3;RAB8A;SNX10;SPATA7;WDR19,Protein localization to cilium,Primary cilium,0.0328420810176894
T72,GO:2000177,4650,38,0.817204301075269,APPL2;ASCL1;ASPM;BTG2;CDH2;CDON;CEND1;CTNNA1;CX3CL1;DISP3;EGF;FGF2;FOXO3;GJC2;GNAI2;ID4;ILK;INSM1;ITGB1;KDM1A;LIMS2;LYN;MDK;NCAN;NES;NF1;NF2;OTP;PROX1;PTBP2;PTN;RASSF10;RHOA;SHCBP1;SLC16A2;SMO;TGFB1;TOX,Regulation of neural precursor cell proliferation,Neural progenitor biology,0.0036596803247588
T72,GO:0061351,4650,65,1.39784946236559,APPL2;ASCL1;ASPM;ATF5;BBS1;BTG2;CDH2;CDON;CEND1;CTNNA1;CX3CL1;DAGLA;DBN1;DISP3;EGF;EML1;EPHB1;FGF2;FGFR1;FGFR2;FOXO3;GJC2;GNAI2;HEATR1;HHIP;ID4;ILK;INSM1;ITGB1;KDM1A;KIF14;LEF1;LIMS2;LYN;MDK;MELK;NCAN;NDE1;NDUFS2;NES;NF1;NF2;NFIA;NUMBL;OTP;PCM1;PROX1;PTBP2;PTN;RAB10;RACGAP1;RASSF10;RERE;RHOA;RORA;RRM1;SHCBP1;SLC16A2;SMO;SOX5;TGFB1;TOX;TRNP1;WDR47;ZNF503,Neural precursor cell proliferation,Neural progenitor biology,0.00066343338764239
T72,GO:0044782,4650,119,2.55913978494624,ABLIM1;ACTR2;ACTR3;ADAMTS16;AKT1;ARF4;ATG3;ATP6V1D;AURKA;AVIL;BBS1;BBS2;BBS4;BBS5;CATIP;CBY1;CCDC146;CCDC88A;CCDC88C;CDK10;CDKL1;CELSR2;CEP131;CEP162;CEP97;CFAP126;CFAP184;CFAP206;CFAP298;CFAP44;CFAP53;CFAP58;CFAP65;CFAP69;CFAP70;CFAP91;CIBAR1;CILK1;CPLANE1;DCTN1;DCX;DNAAF1;DNAAF11;DNAH1;DNAI3;DNALI1;DNMBP;DYNC2H1;DYNC2I1;DYNC2LI1;EHD1;EHD2;EHD3;EHD4;EXOC5;FAM149B1;FAM161A;FHDC1;FSIP2;GBF1;GDI2;GSN;HDAC6;IFT172;IFT25;IFT43;IFT57;IFT88;KCNF1;KCNJ10;LPAR1;LRRC23;MACIR;MAP4;MAPRE1;MARK4;NECTIN2;NME5;OCRL;ODAD3;ODAD4;ODF2;ONECUT2;PARVA;PCM1;RAB11A;RAB11FIP3;RAB23;RAB34;RAB8A;RFX4;RP2;RRP7A;SCLT1;SEPTIN2;SEPTIN7;SNX10;SPEF1;STK36;SYNE2;TBC1D31;TCTN3;TESK1;TMEM17;TMEM237;TMEM80;TPGS1;TRAF3IP1;TRAPPC14;TSGA10IP;TTC12;TTC17;TTC39C;TTLL3;UBE2B;UNC119B;USP9X;WDR19;WWTR1,Cilium organization,Primary cilium,3.08634216301405e-06
