source,interaction,target
NR4A2,1,NR4A1
PPP2CA,-1,APC
AKT1,-1,AR
PAK6,-1,AR
CASP8,-1,AR
HDAC1,-1,AR
NR4A1,1,NR4A3
CASP3,-1,AR
CASP7,-1,AR
CASP1,-1,AR
GSK3B,1,APC
CDK6,-1,CTNNB1
NR4A3,1,NR4A1
RECQL4,1,APEX1
NPAT,1,HINFP
HINFP,1,H4C6
ATR,1,PRKDC
HINFP,1,ATM
HNF1A,1,ESR1
DTX1,-1,MAP3K1
ARNT_HIF1A,1,FLT1
ARNT_HIF1A,1,ADRA1B
ARNT_HIF1A,1,ADM
ARNT_HIF1A,1,EDN1
MAP3K7,1,NLK
PMS2,1,TP73
WNT5A,1,NLK
ARNT_HIF1A,1,CDKN1A
ARNT_HIF1A,1,PGK1
ARNT_HIF1A,1,PKM
ARNT_HIF1A,1,IGF2
CHEK1,-1,TLK1
CHEK1,-1,TLK2
APEX1,1,TXN
ROCK1,1,LIMK2
CDC42BPA,1,LIMK2
STAT6,1,RHOA
TOPBP1,1,ATRIP
CTNNB1,1,NR4A1
DCLRE1B,1,ATR
HSPA1A,1,DCLRE1B
DCLRE1B,1,ATM
PLK1,-1,FANCM
TRAF6,1,TAB1
USP28,-1,MYC
USP7,-1,SKP1
BTRC_CUL1_SKP1,-1,FANCM
KPNA2,1,IRF1
IRF1,1,BRIP1
IRAK1,1,IRF7
TLR2,1,TICAM2
TICAM2,1,MYD88
CTNNB1,1,NR4A2
HNRNPK,1,TP53
RHOA,1,PKN2
BIRC2,-1,MAP3K14
RB1,-1,YY1
BIRC3,-1,MAP3K14
BIRC2,1,RIPK1
BIRC3,1,RIPK1
ERCC6,-1,TP53
CTNNB1,1,NR4A3
TRAF6,1,AKT3
TRAF6,1,AKT1
MYD88,1,IRAK1
PDK1,1,PKN2
TDG,1,AR
TDG,1,PGR
TDG,1,NR3C1
MPG,-1,ESR1
TDG,1,CREBBP
HSF1,1,PRKDC
ELAVL1,1,FOS
ELAVL1,-1,MYC
ELAVL1,1,CDKN1A
ELAVL1,1,CCNA1
TDG,1,ESR1
FOXO3,1,ATM
STAT1,1,CASP1
E2F1,1,TP53
CCNA1,-1,E2F1
ELAVL1,1,TP53
SUMO1,-1,TDG
SUMO2,1,KDM1A
NOLC1,1,TP53
MYC,-1,NFYA
KDM1A,-1,TP53
PCNA,1,FANCL
NFKBIE,-1,PAG1
PIN1,1,TP53
PPP1R13L,-1,TP53
MYC,-1,PLAC8
PLAC8,1,AKT1
ATM,1,KAT8
FOXM1,1,CDC25C
NF1,-1,HRAS
PCBP2,1,ITCH
ITCH,-1,MAVS
GRK2,1,SMO
HTT,-1,PAK2
UIMC1,1,MDM2
HDAC1,1,GLI1
GSK3B,1,SUFU
DYRK2,-1,GLI2
RPS6KA5,1,HMGN1
RPS6KA4,1,HMGN1
EP300,-1,HMGN1
HMGN1,1,TRRAP
