gene_name_all,S1,S2,S4,S5,S6,S7,S8,S9,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S63,S64,S65,S66,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80
GRPEL1,399.800863063261,373.365295581181,513.29761758413,535.469820577504,195.882014992155,215.019892230514,329.532713174083,294.773494404386,274.232317594199,307.96546085117,275.887271294963,331.928431208546,315.408268608631,325.514422589849,246.938576056829,309.972208627312,274.069292175304,307.957078953669,334.68894399392,292.683702349357,359.913325262707,329.832082989108,314.391287855585,447.907025288109,328.804063793279,297.105167339519,338.003913828394,350.408574138424,384.653055606235,348.552922749118,320.79718998467,405.489772855194,241.753421033507,349.361519324374,212.634269451791,227.137034838362,301.442678221813,430.931818640242,476.889460652723,515.971642516627,512.668954816251,516.290764433586,215.105995784641,375.913163457567,261.472605068579,265.743056826965,292.283281098808,279.699793442013,286.779799441501,264.942037369414,305.321512470012,338.761337399903,444.683274228953,424.959425516425,346.814775951355,367.226471499899,347.470458977369,416.099151849353,389.257902472923,444.758449137122,393.391075680202,298.996790229337,356.205380602477,348.299494615258,351.375736752146,398.129569363872,229.811777981637,292.614641387176,251.374580577893,244.394287802941,418.814254221031,381.505876285344,335.356309681888,377.690903592787,501.141282960505
GAR1,458.610475530603,460.936243872302,710.30664656822,596.664363111173,456.964215983336,436.344994342164,557.816376650515,397.457090046882,414.439543107854,472.562147923477,464.898944879504,446.810300206973,491.894080156421,380.503894632334,350.576441642481,377.831729987507,382.257933549046,352.10832262116,458.364421346073,417.744219739161,584.570267960847,555.175998692262,532.6246285082,422.482959073966,418.306659647448,446.523900413345,461.412792484114,551.427333514421,535.994051275764,481.459823737094,516.878490678163,426.184557783362,430.133365839149,373.352792103193,382.794706137685,372.863261902351,555.347571191245,487.947318127112,402.342539489359,344.763096687654,453.89462241774,286.381293490628,258.17302847398,410.141191826408,330.992578449438,370.064179309437,402.144889826982,425.478096050839,365.297485981617,358.904493901541,398.38256104343,390.263601053744,485.781211107767,518.190247177868,415.86743500952,373.57204913058,387.104491908908,432.19067664675,286.446684166846,474.248768352663,476.461502145005,368.865214791377,361.257967951333,375.288350940937,331.86457871822,521.684339127196,222.026236913907,432.899277017412,393.068051104955,428.887359896734,354.533637337257,376.328691783069,317.091071565507,324.010378789899,587.594806310264
FRG1,385.86620038755,346.454580678518,440.966555818483,548.336183113096,457.03989361242,411.982592237346,567.645680781287,374.686547752107,290.377195243701,388.728569249396,392.662274785427,401.052914982742,350.307773684364,279.239070655096,322.709405099836,292.105086935912,230.502851157432,304.189861504756,302.165943633524,252.960756768673,256.655815943126,320.117175652617,393.726813083006,362.589791911393,275.03302727454,339.494438499161,238.264438242597,318.587707931803,405.928308627452,297.443647809152,308.774211175448,272.866696623941,408.187831758418,420.075502096765,349.344727156268,350.661105622326,332.075366348553,308.977256059802,265.292339465121,352.459025931518,330.402293277455,293.59498885882,199.02889489107,382.36836731597,298.077240350638,195.767258189546,335.719724360104,241.03716075927,233.448349258922,270.162702324225,277.101907882732,195.639047544998,201.323898350152,283.483372657171,136.346421192177,180.277854761234,192.963662433295,278.925789989457,265.594483756675,273.459194616023,286.871634296403,305.116599676378,319.028516506078,370.660257738673,366.343064306964,411.34322815753,164.896145403758,307.807198993181,218.937566385949,263.207490879654,131.330568770928,217.735564540763,192.636943042227,147.163584921562,310.153821362919
CLCN3,982.199994701613,862.106557506979,1252.15835546679,894.88998617603,850.197800022096,1092.44167662726,1151.26565805823,931.591816736886,946.993405471621,969.892871001195,809.960463802488,949.030606783074,1049.04237272872,1202.32073465359,1149.53271409326,1031.65076641127,1100.54852126966,1077.73676539439,1169.27125194236,1393.64407823785,1397.44506500075,1292.14335599595,1342.86498190821,1332.47585597981,1298.86781970947,1276.68090021323,1138.92036710096,1386.58744055191,1055.33505210871,1094.98317259292,1188.98440015651,984.259793829042,1092.51331487183,1037.40360816502,924.119072663737,1526.13918651667,1095.76413157629,1531.4855985013,1146.32147600691,740.674437320373,1380.1393561326,769.7120085602,861.176068013777,1538.37929650088,996.531609001402,1153.86788130435,1238.43236078633,1267.14566406164,1055.80178140283,1186.04216877439,1139.38768586441,1178.85818972249,1887.40054981789,1719.51159274151,1542.63748033724,1283.66335983608,1343.41755553419,1494.87291947102,1009.36650864694,1473.29354741423,1347.84894088685,1462.17268912566,1280.77818900116,1390.0670594324,1198.00392976595,1496.3081072124,655.235990822686,1005.2428345565,1189.16962339884,1102.17159044983,1376.56978527397,1491.80770088094,1432.08337875499,1351.66455479179,1858.00836942228
AADAT,562.725111173829,537.606819886194,642.761770432735,677.157112683222,461.283498831336,560.251458373038,740.578203615925,552.307905337854,468.941268161565,537.763975153142,545.105039728583,596.107170713766,517.491486420578,422.001187560047,418.57730957756,380.708391006555,385.484279261008,383.116429513847,535.075979208826,521.671423812439,588.229072264612,561.805742652347,572.389679919293,444.077301893655,439.809853001073,458.043004457815,386.764676393995,580.524579587567,529.543546118661,548.944644534358,558.103505620284,457.969297437198,508.710624598824,508.223379346453,468.628381805433,484.719981981866,593.595923623991,375.052819447176,409.907635052586,479.847013007957,446.71912959328,470.051776748771,258.855522407486,354.898322474921,378.828132317081,315.259286738428,355.963911181731,332.973294760216,341.318453865933,315.298683907539,453.866853195533,329.364709341487,346.485146019187,411.84293636489,298.851340436181,304.554430820729,259.490823312163,368.885809424169,346.664860752414,327.479322331154,338.331221583017,402.213808892208,332.229059733968,363.513491825376,434.018444958534,445.090784665901,246.739942738546,344.943109214321,315.604016831543,336.592987682872,302.511181998523,290.867426315149,286.614097196111,270.798225918413,379.031223709323
GALNT7,749.373108013052,659.723195566154,924.039400464139,693.742570779589,698.45317502482,664.517897407847,804.160852471817,718.283351751892,768.517879820842,824.527063278045,688.105874914397,819.934037590267,933.068492039412,826.890406950884,741.413759469911,783.955838831922,787.805240629558,752.244772415721,770.847329418342,789.587878777475,790.67876356028,842.582636529647,844.617300865983,644.681300013805,681.287671166349,704.317091900922,712.359288844672,686.223006085921,674.074816776909,555.794822526023,610.330190351957,446.218738326744,651.062267878624,625.432121397787,511.67702734816,604.596256949448,648.533523034766,934.011491097723,711.702549739394,503.248559479539,953.838355115759,440.653188996218,625.838660948249,1095.88497315032,788.498273302696,766.581405518794,978.828327053691,1041.17420184509,905.549118520788,948.417459767232,943.678565610068,793.092248006659,1261.36019586245,1185.4682205473,1036.12149836027,813.374988970875,877.721479084052,1020.07772094282,737.452969935031,995.405066341335,936.380543831252,1076.43805275686,848.558738655261,913.153480346719,785.807030996182,1087.49276580752,561.717117851512,864.47788881857,879.082422005877,845.557987042581,1028.04809075292,973.543468249956,963.066501204027,835.536907635187,1189.48930748066
DHX15,3226.94138111627,2786.79963413536,3767.25681615009,3654.3072272768,2541.00817357861,2800.22315691161,3354.76223686412,2871.70983174313,2613.45378132555,2684.05309833002,2616.96189851681,2881.80533805331,2920.15038037765,2919.73337060955,2670.81306247773,2737.47540657118,2679.22119449333,2571.30787345916,2386.69152686194,2366.79945253669,2812.24325372466,2818.22680408329,2850.57098512907,2787.3991495491,2560.6185037813,2540.61500634739,2614.43460474373,2673.86146508966,2514.91506918223,2482.41452597207,2454.63299438002,2148.27302347874,2471.97695819473,2252.54462466286,1898.03222007437,2165.53737203783,2719.24810037986,2245.73277103828,2041.72194026203,1845.31522197281,2322.69795270593,1501.0476797924,1319.34100204225,2165.44354878303,1592.09170510052,1598.08577459398,1900.19113666499,2268.45715842582,1981.13142429605,2128.96254819725,2055.19502707236,1983.19847597798,2713.29959694563,2522.34001753087,2356.29689580598,2086.60780068627,1943.09495427011,2402.16191597279,1998.08411182441,2176.65040316448,2105.04003369935,2210.7097040063,1796.82673554164,1987.74969142704,2025.66693866179,2599.05134530866,1336.8235833185,2205.56145281765,1792.45423126741,1769.75539745169,2240.86754186925,2152.21508095234,2044.33612965792,1983.11182079655,2862.70249510539
SOD3,1.0009729021108,0.0,1.00589580244234,1.0094610192882,0.531056176638477,0.0,2.01476065909521,0.0,0.989686277078221,2.01590852373386,1.00379810940719,1.01253394857759,1.0093806421329,0.0,1.00538190422415,0.993764193774535,0.0,1.00955410823072,0.0,1.01727577762752,0.989687779665786,0.0,2.02279705979321,2.03324996926654,1.01297212687107,0.0,0.0,0.0,2.01308687732718,1.00438451274729,10.6500315882344,8.91119560900819,0.530605485816255,0.0,2.00626386637456,0.0,0.0,0.0,0.990954445314251,0.990099653657643,0.0,0.0,2.97956703575401,1.99734974674585,0.0,3.90984551454666,0.997323925426151,0.995556434111389,3.00857750946121,2.01513777979528,2.00790089680293,4.03699717871381,9.08899922116891,0.0,2.76755332562197,6.93459009903567,1.06093031107366,3.05324261289529,0.0,1.97249156600586,0.0,4.02774170350582,1.97163414781998,8.70370399346268,0.99081008033041,2.95991837841563,6.97712747493732,0.0,4.01759346272006,2.0103406301145,1.01181225325134,0.995484841245991,1.00586805561863,3.94743272502822,4.04055163828878
SEPSECS,146.471594222477,155.056777777757,210.41823027885,177.027701199182,223.926312724511,191.067024973996,285.993094916989,202.368760001588,174.761254756067,195.044151830007,184.792850950975,197.567384343098,213.053350824331,160.462054251781,147.844248178726,188.080852481154,185.386842577918,140.731893338536,108.734229624013,141.044323454497,178.70112113863,170.179983322628,158.933276992054,147.094473428243,135.813835631783,97.0824962055087,105.321563337791,129.715718857287,126.464088617754,125.291050516147,113.82823896589,84.1372717585183,199.263543059153,207.441457622313,171.918622445549,163.796387684463,228.08855218455,112.35589255498,101.134055008141,93.3673249264347,127.449788232121,140.191948105227,103.861389871043,273.881429362566,174.102065437997,132.417607585421,197.591356062093,154.052694144079,90.1522971626793,140.451090674581,122.717098929719,100.727785981014,124.942458962041,100.965149807914,85.1171552382816,73.5784262068925,87.6373739089912,153.785131689793,115.05063718865,114.226740476124,65.3825676386156,170.149603196513,135.199207088437,150.97869925289,169.019223970601,155.795974914711,82.7263339040442,113.581149234718,113.872746995704,115.681707748531,131.079815917541,77.846918103211,106.461519630837,97.6643523626887,89.5527741792082
CPZ,0.0,0.0,3.00440557083509,0.0,0.0,0.0,0.899486145680735,0.0,0.0,0.0,0.0,0.0,1.80204541358578,0.0,0.0,3.63532543694116,0.0,0.0,6.67554722787953,1.8169224047925,7.54802353601225,4.22616570695991,3.61193681870168,25.3352805876801,27.7967544436961,26.4172009493124,16.7297299056269,1.24314312101271,4.38574902159816,1.77275083446324,0.890659790271079,3.59336785229037,3.58622708645915,0.892116681425771,4.33671159374831,3.66780565922064,4.45952225624353,0.89568688929066,0.757447430893688,0.0,0.0,0.0,0.0,0.891601176114019,0.0,0.886267591221082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.893067719181502,0.0,0.897950249064143,3.0109938954398,6.03708063730364,0.0,0.0,0.0,0.900149142111236,0.0,0.0,0.0,0.0,0.0,0.888081493403844,0.0,7.3311112811194,0.903920900859735,0.0,0.0,0.883815577480478,0.0
TRIM2,1976.25096706107,1965.15085102404,2189.44303251898,1977.93451458741,2785.3459363971,2668.72891273604,3292.2854814943,2640.97276859249,2773.52125933387,3024.20354077158,2762.53211751243,3176.41494720808,3488.31966993316,3347.96440378832,2855.23704131105,2873.90459467727,2953.81974982296,2794.67650316231,2961.05477846648,2881.16613490508,3203.24309482201,3169.27011048506,3121.1791520646,2810.63739169219,2726.83425653317,2524.04031137395,2648.62995823589,2098.04897242253,1727.43997508221,1769.40165248877,1777.43613044887,1222.56645607201,2634.36488267553,2358.22951944071,2120.34585127126,2490.47601233236,2863.27401049115,1994.03402323895,1598.99167105048,946.473515039762,1947.73300325657,1252.47307627379,1609.82058990048,2758.15738983181,2158.08556647835,2117.15967428313,2837.85878627057,2792.28877031136,2558.6067897612,2467.6754025718,2327.09091181948,2408.98948287026,2924.99080348291,2730.53927506207,2472.35828881143,1960.66447707157,2120.84987033646,2048.81170505804,1623.84145671101,1726.20810844783,1705.114536824,2891.06584920354,2306.63804741805,2453.36260847958,2287.76115338051,2633.08604301962,1667.28297836653,2530.79415458626,2507.31318278515,2318.55363383389,2362.70697127888,2321.62076043678,2008.0756978914,1888.25006963456,2749.17959977089
SLC2A9,0.9037135864882,6.9320275714533,9.28574437133266,3.17560291149581,0.0,0.0,5.05912787265469,0.0,0.909800989499561,0.909581239817875,0.905818439113988,0.0,0.909620334582431,0.911545538927357,0.0,0.909377995537829,0.0,1.82075303197151,1.83454825503725,0.917413856531673,0.905869619968599,3.18622978637845,0.0,0.916838926159304,0.0,0.910590074317528,0.0,0.90984677256118,1.81686778601824,1.22622700599189,0.910440528132836,0.907849010519528,2.71821165379652,8.28034418262122,0.0,0.920795289788289,3.60302021912934,1.80985769892919,0.0,0.88955530033148,4.77100219722734,1.89811488487915,0.89672384793428,2.70062627117393,0.0,1.79040500628439,1.80055693206037,0.0,0.906494452156267,3.63489559585127,1.81153547240748,1.82103208501395,0.0,1.70612449605991,0.0,0.0,0.0,0.0,1.81431337919511,0.904105943468765,0.0,4.54827519049356,0.0,0.0,5.59983796848876,0.891118201795347,0.899095321619256,0.8975540078284,2.71889336692407,0.0,0.0,0.0,0.907437923225296,0.0,7.11574823235993
FBXW7,669.824828531779,523.012335662527,560.103008344181,564.947592452884,709.860428415251,747.763643822515,795.221831098702,859.694249117397,737.167606427487,887.737031487445,654.713084603227,823.757884579118,788.014087068902,762.709629028739,670.019157175109,988.644716306111,701.886259360823,645.233617182484,465.791219645801,526.977391951209,479.427342173826,686.155500444028,610.250697338613,497.930048256247,484.381913893717,531.836127970644,495.068459702589,425.665821020085,363.087099730753,475.814342721482,354.308392747991,242.23984261042,479.720310099812,541.743374394522,376.969647841441,569.741666960145,453.0567066698,817.38042711994,631.786797600353,498.210592817626,691.32896260544,461.871625210583,576.858890184589,1111.70696300466,728.813702945938,731.041067909181,849.754935049459,1327.49507504952,969.499879126211,916.381648741846,1070.37721172769,937.205456910492,1029.24968430493,975.058576678269,768.32764733699,745.801923368176,917.170182701189,904.579262324563,702.795187666461,749.557444486957,556.100634057509,1096.94905593007,890.843004651931,843.216963495437,951.18200643134,1438.84232844772,661.585466822547,813.523745687171,794.047498973249,867.674873568811,955.369098700765,940.282948005134,702.512497596468,857.653835945862,843.138692479975
NEIL3,143.248271101274,133.459059632621,172.033499411181,145.606729719749,151.507018128089,178.561441192129,206.881776496567,150.007093823159,162.604819510071,184.999530308112,169.33946676365,197.537830852359,205.661919895506,153.606613565608,190.157076705779,149.939881003717,142.47972429895,170.576662615688,118.585079316039,92.8303086473141,159.646321034758,130.345758060358,171.730637839871,133.308136234341,129.895943078733,138.976995958839,130.754074041177,137.400067888616,103.472827154355,128.734013256158,100.312188488298,89.8119619681608,136.987562566718,102.805331060838,84.6634925226528,110.118497681521,141.382195506231,90.2606408285347,80.0476438649636,51.7893354279081,80.7708727263748,46.0965874798423,40.4521354215118,58.2578882407223,64.6994605515243,52.9466862262492,66.0433772876083,58.9661016957805,51.8395915722683,74.4968848311976,45.9226098731443,42.2344374756137,92.4416904171959,94.2875706114782,79.8108076513364,59.421763018102,75.1686222433598,70.2674239295013,47.9090079035386,72.0081902038443,41.8387815573263,78.3059986976484,56.6691112219128,58.4787416177028,58.6882056959303,52.8780923541113,24.3232508368891,48.3692398799648,41.0620730979669,47.9251643055222,66.6658920403341,74.7222297509851,82.0884576964793,80.9784347309147,104.504801307733
TBC1D19,155.801892807369,145.507657093939,179.794445013174,129.116189028052,167.98237243118,134.014870634081,179.271889127948,157.762016787943,145.481068995497,183.161171861841,153.623186473734,206.881145579381,134.5998872062,132.681080226526,108.983077981897,155.036734110332,138.034406172013,129.293973449332,168.211071815894,172.902196663306,156.402099298214,192.027951465423,166.062143140379,151.087189146787,160.042724354405,179.540269251835,182.426423417513,210.605124542877,180.830259824894,185.783200093247,148.864697187594,184.592154554759,124.578726695931,122.076725671183,116.426677724995,148.526651135048,130.85655764083,207.256449746934,185.48268729163,229.615291982788,227.159724801876,191.013458418184,100.987042168099,129.185329722669,125.451823800966,94.1790398370959,146.729938585611,137.45731609332,142.276943322357,134.461945973752,113.447525814682,126.405075597369,190.902371298328,197.917811609641,163.515804903075,180.597742068858,187.805959730749,186.08602108352,132.22374767863,177.160050854066,169.670126319709,147.290573412368,126.059444406705,120.386294377374,149.079300325141,202.144529457424,79.4365866680973,110.873328067617,138.609016655864,107.568608389016,185.61096790772,151.26437818359,178.322715517,165.412618447061,229.279869928214
CLNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998102002971384,0.0,0.0,0.0,0.990968335218404,0.996291606775417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98978902954677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998436742890482,0.0,0.0
